RowNumber,FieldName,ErrorCode,Message
120,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
120,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
120,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
121,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
121,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
121,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
121,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
122,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
122,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
122,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
122,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
123,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
123,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
123,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
123,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
124,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
124,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
124,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
124,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
125,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
125,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
125,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
125,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
126,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
126,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
126,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
126,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
127,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
127,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
127,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
127,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
128,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
128,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
128,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
128,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
129,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
129,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
129,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
129,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
130,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
130,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
130,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
130,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
131,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
131,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
131,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
131,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
132,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
132,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
132,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
132,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
133,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
133,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
133,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
133,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
134,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
134,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
134,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
134,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
135,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
135,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
135,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
135,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
136,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
136,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
136,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
136,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
137,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
137,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
137,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
137,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
138,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
138,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
138,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
138,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
139,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
139,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
139,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
139,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
140,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
140,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
140,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
140,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
141,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
141,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
141,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
141,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
142,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
142,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
142,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
142,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
143,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
143,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
143,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
143,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
144,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
144,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
144,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
144,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
145,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
145,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
145,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
145,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
146,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
146,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
146,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
146,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
147,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
147,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
147,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
147,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
148,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
148,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
148,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
148,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
149,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
149,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
149,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
149,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
150,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
150,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
150,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
150,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
151,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
151,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
151,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
151,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
152,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
152,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
152,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
152,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
153,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
153,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
153,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
153,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
154,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
154,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
154,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
154,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
155,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
155,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
155,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
155,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
156,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
156,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
156,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
156,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
157,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
157,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
157,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
157,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
158,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
158,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
158,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
158,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
159,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
159,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
159,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
159,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
160,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
160,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
160,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
160,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
161,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
161,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
161,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
161,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
162,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
162,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
162,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
162,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
163,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
163,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
163,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
163,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
164,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
164,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
164,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
164,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
165,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
165,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
165,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
165,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
166,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
166,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
166,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
166,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
167,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
167,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
167,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
167,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
168,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
168,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
168,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
168,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
169,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
169,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
169,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
169,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
170,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
170,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
170,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
170,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
171,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
171,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
171,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
171,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
172,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
172,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
172,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
172,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
173,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
173,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
173,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
173,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
174,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
174,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
174,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
174,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
175,"ItemCode","ITEM_NOT_FOUND","No tea inventory master item matches this code."
175,"OriginalTransactionDate","INVALID_SOURCE_DATE","Use an ISO-8601 timestamp with an explicit Z or UTC offset, for example 2026-07-14T08:30:00+05:30."
175,"TransactionType","INVALID_TRANSACTION_TYPE","Use SupplierReceipt, ProductionReceipt, CustomerReturn, StockIn, OpeningBalance, CustomerOrder, ProductionUsage, Damage or StockOut."
175,"WarehouseCode","WAREHOUSE_NOT_FOUND","No active warehouse matches this code."
